timestamp,Carrier,AvgTicketPrice,Cancelled,DestWeather,DistanceKilometers,FlightTimeHour,Origin,Dest,timestamp
"Nov 29, 2020 @ 21:30:17.000","ES-Air","$747.67",false,"Heavy Fog","1,577.199","1.3835080874605727","Helsinki Vantaa Airport","Munich Airport","Nov 29, 2020 @ 21:30:17.000"
"Nov 29, 2020 @ 21:27:36.000","ES-Air","$995.67",true,Hail,"5,784.156","4.820130235173254","Rajiv Gandhi International Airport","Ukrainka Air Base","Nov 29, 2020 @ 21:27:36.000"
"Nov 29, 2020 @ 21:19:21.000",JetBeats,"$528.62",true,Sunny,"15,467.499","18.571758012361844","Pittsburgh International Airport","Sydney Kingsford Smith International Airport","Nov 29, 2020 @ 21:19:21.000"
"Nov 29, 2020 @ 21:19:21.000",JetBeats,"$821.5",false,Clear,"16,998.193","29.00483737571628","King Shaka International Airport","San Diego International Airport","Nov 29, 2020 @ 21:19:21.000"
"Nov 29, 2020 @ 21:15:58.000","Logstash Airways","$597.87",false,Hail,"6,488.309","9.01154048561512","Abu Dhabi International Airport","King Shaka International Airport","Nov 29, 2020 @ 21:15:58.000"
"Nov 29, 2020 @ 21:08:43.000","Logstash Airways","$972.09",false,Rain,"961.83","3.8437106374809265","Amsterdam Airport Schiphol","Vienna International Airport","Nov 29, 2020 @ 21:08:43.000"
"Nov 29, 2020 @ 21:07:30.000","Logstash Airways","$589.24",false,Cloudy,"8,870.786","11.622802875617081","Cape Town International Airport","Malpensa International Airport","Nov 29, 2020 @ 21:07:30.000"
"Nov 29, 2020 @ 20:52:51.000",JetBeats,"$545",true,Clear,"1,101.861","1.5303625833473482","Charles de Gaulle International Airport","Leonardo da Vinci - Fiumicino Airport","Nov 29, 2020 @ 20:52:51.000"
"Nov 29, 2020 @ 20:42:35.000",JetBeats,"$655.03",false,Rain,"16,681.282","16.35419759540758","Sydney Kingsford Smith International Airport","Turin Airport","Nov 29, 2020 @ 20:42:35.000"
"Nov 29, 2020 @ 20:28:56.000","Kibana Airlines","$1,086.94",false,Sunny,"1,125.123","1.2501361161976758","Copenhagen Kastrup Airport","Venice Marco Polo Airport","Nov 29, 2020 @ 20:28:56.000"
"Nov 29, 2020 @ 20:25:36.000","ES-Air","$341.48",false,Clear,0,0,"Zurich Airport","Zurich Airport","Nov 29, 2020 @ 20:25:36.000"
"Nov 29, 2020 @ 20:12:52.000","Logstash Airways","$259.07",false,Hail,0,0,"Copenhagen Kastrup Airport","Copenhagen Kastrup Airport","Nov 29, 2020 @ 20:12:52.000"
"Nov 29, 2020 @ 20:01:16.000",JetBeats,"$1,007.23",false,"Thunder & Lightning","6,013.032","5.274589306314442","Amsterdam Airport Schiphol","Philadelphia International Airport","Nov 29, 2020 @ 20:01:16.000"
"Nov 29, 2020 @ 20:00:33.000","Kibana Airlines","$845.21",false,Hail,"1,101.861","0.9665447894825357","Charles de Gaulle International Airport","Leonardo da Vinci - Fiumicino Airport","Nov 29, 2020 @ 20:00:33.000"
"Nov 29, 2020 @ 19:42:52.000","Kibana Airlines","$1,027.14",false,Clear,"10,740.479","9.421472929304128","Licenciado Benito Juarez International Airport","New Chitose Airport","Nov 29, 2020 @ 19:42:52.000"
"Nov 29, 2020 @ 19:41:33.000","Logstash Airways","$1,119.07",false,Clear,"1,210.356","1.4409001681378446","Indianapolis International Airport","Montreal / Pierre Elliott Trudeau International Airport","Nov 29, 2020 @ 19:41:33.000"
"Nov 29, 2020 @ 19:22:55.000","Logstash Airways","$811.65",true,Cloudy,"8,189.42","8.028843555842663","Miami International Airport","Treviso-Sant'Angelo Airport","Nov 29, 2020 @ 19:22:55.000"
"Nov 29, 2020 @ 19:22:04.000","ES-Air","$1,160.56",false,Cloudy,"9,811.298","7.786744596504942","Jeju International Airport","Winnipeg / James Armstrong Richardson International Airport","Nov 29, 2020 @ 19:22:04.000"
"Nov 29, 2020 @ 19:15:55.000",JetBeats,"$1,144.86",false,Rain,"8,179.796","9.73785275130833","Tulsa International Airport","Turin Airport","Nov 29, 2020 @ 19:15:55.000"
